nome,cpf,idade,data,estado,salario,nivel_educacao,numero_filhos,estado_civil,anos_experiencia,area_atuacao,rua,bairro,cep,cidade
Maria Fernanda Cavalcanti,068.***.***-59,51,1973-02-23,Minas Gerais,16102.11,Ensino Superior,2,Casado,25,Comércio,"Chácara Pinto, 63",Lagoinha Leblon,89005-330,da Conceição 
Melissa Moraes,819.***.***-50,31,1993-02-22,Maranhão,5305.88,Ensino Médio,3,Divorciado,0,Tecnologia,"Setor Campos, 71",Nazare,90588-907,Ribeiro do Oeste 
Samuel Santos,809.***.***-48,18,2005-08-12,Mato Grosso,5388.44,Ensino Médio,1,Casado,0,Indústria,"Quadra Cunha, 85",Vila São Gabriel,33311-886,Fogaça do Sul 
Isaac Novaes,340.***.***-69,35,1988-06-07,Santa Catarina,5067.14,Ensino Fundamental,1,Casado,12,Indústria,Viela de Barros,São Jorge 3ª Seção,35108-301,Oliveira do Campo 
Ana Júlia da Luz,649.***.***-19,85,1939-04-08,Amazonas,6522.37,Ensino Superior,0,Casado,18,Saúde,Rodovia Rocha,Jaraguá,44052-939,Correia 
Olivia Barbosa,526.***.***-19,43,1980-06-29,Acre,4106.04,Ensino Médio,0,Solteiro,11,Indústria,"Parque Viana, 81",Nossa Senhora Da Aparecida,65558-775,Fernandes de Lopes 
Danilo da Costa,430.***.***-38,40,1983-09-18,Ceará,4105.32,Ensino Fundamental,0,Casado,7,Indústria,Quadra de da Rocha,São Bento,29015-708,Santos da Prata 
Lucas Monteiro,130.***.***-80,47,1976-11-28,Piauí,5801.57,Ensino Médio,0,Solteiro,12,Educação,"Recanto de Caldeira, 1",Cachoeirinha,28695-780,Mendes 
Sr. Emanuel Fogaça,568.***.***-29,63,1960-11-13,Goiás,12236.58,Ensino Médio,1,Divorciado,34,Educação,"Esplanada Aragão, 42",Santa Lúcia,74821-258,Rocha 
João Alves,745.***.***-93,31,1993-03-10,Goiás,4506.22,Ensino Médio,1,Casado,11,Educação,"Praia Lorenzo Gonçalves, 58",São Salvador,44258-568,da Mota 
André Santos,419.***.***-28,46,1978-03-07,Paraíba,6764.265822019516,Ensino Médio,3,Viúvo,20,Saúde,"Sítio Peixoto, 12",Vila Rica,07078-797,Freitas 
Emanuel da Cunha,876.***.***-04,57,1967-02-09,Ceará,12597.38,Ensino Médio,0,Casado,29,Tecnologia,"Morro Viana, 6",Vila Nova Gameleira 3ª Seção,75716-660,Carvalho 
Renan da Rocha,628.***.***-67,36,1987-06-06,Maranhão,12979.72,Pós-graduação,1,Solteiro,6,Comércio,"Praça de Costela, 67",Lagoa,27863-391,Pinto da Serra 
Catarina da Cruz,453.***.***-80,53,1970-08-22,Piauí,5960.39,Ensino Médio,0,Casado,2,Indústria,"Rodovia Valentina Santos, 3",Anchieta,98032-034,Rocha 
Henrique Moura,683.***.***-39,22,2001-06-19,Roraima,7194.01,Ensino Superior,1,Solteiro,0,Comércio,"Vale de Lopes, 113",Nova Gameleira,78312-205,Mendes 
Dr. Murilo Aragão,528.***.***-62,57,1966-09-05,Alagoas,11203.83,Ensino Médio,0,Solteiro,38,Comércio,"Vale Farias, 7",Santa Tereza,81358-785,Teixeira Grande 
Luigi Cavalcanti,649.***.***-61,41,1982-07-23,Bahia,3440.18,Ensino Médio,1,Solteiro,14,Indústria,Alameda de Pires,Coração Eucarístico,67691-493,Santos do Campo 
Dra. Isabelly Moura,462.***.***-92,27,1996-04-23,Sergipe,6854.84,Ensino Superior,0,Casado,9,Saúde,"Praça Marcela Souza, 67",João Paulo Ii,05501-635,Martins de Cardoso 
João Miguel Aragão,652.***.***-17,53,1970-06-08,Piauí,4615.01,Ensino Médio,2,Solteiro,4,Comércio,"Avenida Daniel Pires, 11",Castelo,93724-448,Teixeira da Praia 
Matheus Freitas,921.***.***-05,36,1987-06-01,Espírito Santo,5023.47,Ensino Superior,1,Casado,9,Saúde,"Quadra Thiago Azevedo, 6",Vila Engenho Nogueira,35224-153,Moura do Campo 
Ana Sophia Silveira,673.***.***-30,18,2005-10-13,Maranhão,3173.81,Ensino Médio,0,Solteiro,0,Indústria,"Vila Paulo Cardoso, 7",Santa Terezinha,24408-390,Porto 
Maria Vitória Novaes,647.***.***-83,50,1974-01-16,Santa Catarina,3880.21,Ensino Fundamental,1,Casado,15,Indústria,Vila Lima,Conjunto Minas Caixa,25697-149,Rocha de Mendes 
Rodrigo Jesus,386.***.***-98,22,2001-11-04,Amapá,5912.7,Ensino Superior,1,Casado,0,Educação,"Distrito Mariana Ribeiro, 5",Vila Calafate,92946-518,Viana de Minas 
João Vitor Pereira,167.***.***-50,22,2002-01-05,Pernambuco,3562.13,Ensino Fundamental,0,Solteiro,3,Comércio,"Loteamento de Azevedo, 39",Vila Engenho Nogueira,87383-519,Viana 
Pedro Lucas Farias,795.***.***-50,56,1967-12-13,Santa Catarina,7893.15,Ensino Médio,4,Solteiro,20,Saúde,"Residencial Cunha, 570",Palmeiras,17280-422,Cavalcanti 
Sr. Davi Luiz Peixoto,461.***.***-82,47,1977-02-11,Tocantins,6313.87,Ensino Médio,2,Divorciado,0,Indústria,"Campo Novaes, 117",Biquinhas,86799-085,Dias de Cardoso 
Lucas Carvalho,358.***.***-40,25,1998-11-12,Goiás,4847.99,Ensino Médio,0,Casado,2,Saúde,"Vale de Gonçalves, 620",Marajó,66855-130,Melo 
Emilly Pinto,197.***.***-40,28,1995-09-12,Rio Grande do Norte,4647.22,Ensino Médio,3,Solteiro,6,Educação,"Viaduto de Campos, 20",Cenaculo,74032-439,Pires 
Yago das Neves,150.***.***-30,36,1987-06-06,Piauí,7546.14,Pós-graduação,0,Casado,13,Indústria,"Conjunto Ramos, 9",Vila Oeste,55037-735,Fogaça 
Ana Laura Souza,415.***.***-05,18,2006-03-07,Minas Gerais,6072.38,Ensino Superior,3,Divorciado,0,Saúde,"Travessa Emanuella da Luz, 40",Fernão Dias,52770-757,Martins 
Olivia da Cunha,824.***.***-87,53,1970-07-16,Goiás,12106.65,Ensino Superior,0,Solteiro,29,Indústria,"Praia de Lima, 8",São Jorge 3ª Seção,86793-882,Nascimento 
Ryan da Rocha,283.***.***-71,25,1998-04-13,Goiás,3353.07,Ensino Médio,1,Solteiro,2,Comércio,Feira de Cardoso,Caetano Furquim,70303-768,da Costa de Goiás 
Dra. Lavínia Campos,259.***.***-11,58,1965-07-04,Pará,10213.37,Não informado,0,Não informado,8,Não informado,"Pátio de da Mota, 49",Vila Tirol,66533-461,Silveira 
Caroline Freitas,038.***.***-26,64,1960-03-03,Roraima,8919.45,Ensino Médio,1,Casado,19,Tecnologia,Chácara Monteiro,Serrano,67438-965,Duarte 
Noah Almeida,286.***.***-12,21,2002-06-22,Rio Grande do Sul,3180.05,Ensino Médio,0,Casado,2,Comércio,"Viela Maria Clara Cardoso, 74",Buritis,55190-687,Cardoso 
Emanuelly Araújo,209.***.***-12,48,1975-10-26,Ceará,8068.37,Ensino Superior,0,Casado,19,Indústria,"Setor de Santos, 9",João Pinheiro,67882-582,Fogaça de Goiás 
Cauã da Costa,173.***.***-14,55,1969-02-27,Piauí,19376.45,Pós-graduação,0,Casado,23,Tecnologia,"Recanto de da Cunha, 9",Mala E Cuia,86808-511,da Luz das Pedras 
Gustavo Henrique Sales,459.***.***-82,26,1997-12-30,Acre,4092.38,Ensino Médio,0,Casado,0,Educação,Fazenda de Nogueira,Boa Vista,88200-329,Rodrigues 
Emanuel Fogaça,276.***.***-29,53,1970-06-15,Bahia,4929.13,Ensino Fundamental,0,Solteiro,24,Saúde,Parque de Campos,Vila Havaí,50751-384,da Mota 
Sra. Lavínia Rodrigues,173.***.***-69,18,2005-07-20,Sergipe,3289.94,Ensino Fundamental,0,Casado,0,Educação,Viela Santos,Bonfim,20194-404,Fernandes das Pedras 
Davi Luiz Lima,912.***.***-05,63,1960-08-10,Mato Grosso do Sul,11039.47,Ensino Médio,3,Casado,37,Comércio,"Lagoa Lorenzo Cardoso, 713",Vila Mantiqueira,45715-397,Aragão 
Felipe Araújo,941.***.***-24,18,2006-03-08,Maranhão,6764.265822019516,Ensino Médio,3,Casado,0,Saúde,Loteamento Alves,Pompéia,27443-617,Cardoso Alegre 
Vitória da Mata,834.***.***-05,88,1936-02-06,Minas Gerais,6764.265822019516,Ensino Fundamental,5,Solteiro,59,Tecnologia,"Vereda João Felipe Barbosa, 8",Vila Nova Paraíso,78971-993,Costela de Cardoso 
Noah da Rocha,702.***.***-79,45,1978-11-09,Pará,7665.59,Ensino Superior,0,Casado,1,Indústria,"Aeroporto de Lima, 49",João Alfredo,00709-187,Jesus do Amparo 
Sr. Luiz Miguel Pereira,685.***.***-57,38,1985-07-27,Mato Grosso do Sul,7146.25,Ensino Médio,0,Casado,9,Indústria,"Via Ribeiro, 73",Piraja,25753-509,Porto de Dias 
Davi Lucas Viana,839.***.***-03,28,1996-02-24,Amazonas,4284.46,Ensino Fundamental,3,Solteiro,6,Saúde,"Distrito Bianca da Rocha, 54",Vila Santa Monica 1ª Seção,90427-790,Dias 
João Campos,409.***.***-20,61,1962-07-08,Rio de Janeiro,7404.26,Ensino Fundamental,3,Solteiro,11,Tecnologia,"Recanto Correia, 48",Mirtes,50173-797,Peixoto Paulista 
Sr. Emanuel Nascimento,843.***.***-66,27,1996-07-24,Tocantins,2829.79,Ensino Fundamental,1,Solteiro,8,Educação,"Vale Duarte, 315",Pindorama,61755-915,das Neves Grande 
Sophie Barbosa,765.***.***-37,35,1989-01-03,Sergipe,5507.68,Ensino Fundamental,1,Divorciado,9,Saúde,Viaduto de Viana,Vila Da Amizade,73520-715,Farias 
Nathan da Mata,485.***.***-98,49,1975-01-05,Ceará,11211.49,Ensino Médio,1,Casado,8,Tecnologia,"Vila de Melo, 914",Olhos D'água,68475-501,Pires de Goiás 
Alícia Castro,142.***.***-01,32,1991-11-01,Minas Gerais,4116.22,Ensino Médio,3,Divorciado,11,Saúde,"Quadra Pinto, 751",Vila Pilar,16067-592,da Mata de Goiás 
João Guilherme Alves,986.***.***-78,56,1967-05-03,Espírito Santo,7928.39,Ensino Médio,1,Casado,31,Tecnologia,"Parque Kamilly da Costa, 5",Ápia,43541-091,Nogueira Paulista 
Gustavo Henrique Ramos,735.***.***-25,54,1969-09-21,Rio Grande do Sul,13475.78,Ensino Médio,1,Solteiro,25,Tecnologia,"Conjunto de da Rocha, 145",Vila União,19510-062,Rodrigues 
Ana Julia Dias,903.***.***-88,50,1973-12-21,Amapá,7396.89,Ensino Superior,0,Casado,28,Indústria,"Favela Vitor Gabriel Martins, 6",Saudade,12292-156,Cardoso do Oeste 
Cauã Costela,836.***.***-05,50,1974-02-18,Rio Grande do Norte,7329.29,Ensino Médio,0,Solteiro,6,Educação,"Parque Camila da Cunha, 66",São Marcos,02369-052,Peixoto 
Lucas Silveira,861.***.***-12,36,1988-02-23,Rio de Janeiro,10149.08,Pós-graduação,3,Casado,1,Educação,"Largo Calebe Castro, 840",Cruzeiro,81075-400,Pinto 
Maitê Nunes,016.***.***-98,42,1981-12-21,Rio de Janeiro,6764.265822019516,Ensino Médio,2,Casado,13,Educação,Setor Porto,Independência,15048-123,Moreira 
Thiago das Neves,403.***.***-44,60,1963-08-16,Sergipe,9254.55,Ensino Médio,1,Solteiro,12,Comércio,"Vale de Alves, 87",Vista Alegre,55354-812,Pinto das Flores 
Bianca Duarte,269.***.***-06,18,2005-07-31,Alagoas,4053.34,Ensino Fundamental,0,Solteiro,0,Saúde,"Aeroporto Mariane Nascimento, 82",Canaa,45297-368,Martins 
Juliana Barros,425.***.***-99,21,2002-10-18,Rio de Janeiro,4437.11,Ensino Médio,1,Casado,1,Saúde,"Distrito Ferreira, 212",Prado,02736-169,Campos das Pedras 
Henrique Silveira,705.***.***-41,60,1964-02-18,Sergipe,3264.16,Ensino Médio,2,Casado,0,Educação,"Aeroporto Igor Rezende, 541",Coração Eucarístico,04826-988,das Neves das Flores 
Dra. Milena Viana,287.***.***-12,34,1989-08-23,Paraíba,5931.67,Ensino Médio,1,Casado,6,Educação,"Rodovia Erick das Neves, 71",Vila Nova Cachoeirinha 1ª Seção,93317-663,Novaes 
Ana Laura Cavalcanti,413.***.***-13,28,1995-07-05,Tocantins,9335.66,Ensino Superior,1,Casado,5,Comércio,"Parque João Felipe Vieira, 16",Granja De Freitas,11718-984,Barbosa 
Rebeca Martins,532.***.***-09,25,1998-06-20,Roraima,5843.58,Ensino Médio,0,Solteiro,0,Educação,"Lagoa Davi Luiz Barbosa, 867",Marieta 3ª Seção,73427-579,da Rosa do Amparo 
João Vitor da Cruz,503.***.***-60,52,1971-08-18,Goiás,9350.78,Ensino Médio,3,Casado,28,Educação,"Feira de Costa, 91",Glória,61893-810,Peixoto 
Sr. Noah Vieira,387.***.***-50,45,1978-06-17,Pernambuco,10705.61,Ensino Superior,1,Casado,18,Comércio,"Passarela Alana Farias, 68",Fernão Dias,20290-242,Gomes do Norte 
Rafael Cavalcanti,145.***.***-91,19,2005-02-23,Roraima,5433.65,Pós-graduação,0,Solteiro,0,Indústria,Parque Letícia da Paz,Pilar,04590-851,da Paz 
Mariana da Luz,216.***.***-85,23,2001-04-03,Roraima,6764.265822019516,Ensino Superior,1,Casado,4,Tecnologia,"Residencial Fernandes, 43",São José,76367-345,Freitas Paulista 
Mirella Gonçalves,582.***.***-73,25,1998-11-13,Rondônia,3063.97,Ensino Médio,1,Viúvo,0,Indústria,"Pátio Marcela Cardoso, 725",Copacabana,73865-067,da Luz 
Enzo Silveira,564.***.***-61,32,1992-03-30,Rondônia,2278.7,Ensino Fundamental,0,Casado,13,Saúde,"Alameda de Vieira, 16",João Paulo Ii,38117-656,Cardoso 
Alana Silva,264.***.***-19,52,1971-10-06,Distrito Federal,7790.43,Ensino Médio,1,Solteiro,14,Comércio,"Via de Cunha, 444",Vila Barragem Santa Lúcia,19447-661,Moreira 
Ana Vitória Souza,420.***.***-00,21,2002-06-03,São Paulo,4109.44,Ensino Médio,1,Casado,1,Educação,"Avenida Nogueira, 14",Vila Real 1ª Seção,85556-107,Correia da Prata 
Sr. Luiz Otávio Monteiro,395.***.***-02,77,1946-12-30,Santa Catarina,6764.265822019516,Ensino Superior,2,Divorciado,58,Comércio,"Setor Luiz Fernando Nogueira, 77",Vila Independencia 2ª Seção,84874-916,Moura 
Maria Alice Lopes,472.***.***-00,29,1994-10-29,Amazonas,9800.89,Ensino Superior,1,Divorciado,4,Comércio,"Ladeira Cardoso, 74",Marmiteiros,51169-642,Ribeiro 
Bruna Correia,312.***.***-60,26,1997-08-31,Espírito Santo,7185.13,Ensino Superior,0,Solteiro,5,Tecnologia,"Recanto Noah Teixeira, 425",Vila Nova Paraíso,94894-750,Barbosa 
Dra. Isabella Silveira,689.***.***-77,56,1968-03-01,Amapá,6658.06,Ensino Médio,0,Casado,26,Tecnologia,"Largo de Cardoso, 28",Andiroba,21517-909,Nunes 
Clara Vieira,570.***.***-76,38,1985-12-27,Rio Grande do Norte,6798.1,Ensino Médio,2,Solteiro,5,Educação,"Rua de Nunes, 8",Lajedo,74599-778,Rezende da Serra 
Maria Vitória Jesus,728.***.***-35,39,1984-09-16,Pará,3016.69,Ensino Médio,2,Casado,11,Educação,Estrada Rezende,Sagrada Família,62251-819,Aragão Alegre 
Caroline Pires,251.***.***-58,49,1974-10-09,Roraima,4278.79,Ensino Fundamental,1,Divorciado,27,Indústria,"Favela de Freitas, 75",Alto Dos Pinheiros,27201-964,Rodrigues 
Dr. Caio Sales,836.***.***-56,47,1976-04-13,Maranhão,13494.08,Ensino Superior,1,Casado,24,Tecnologia,"Viaduto Sophie da Costa, 83",Apolonia,77210-970,Azevedo da Mata 
Vitor Hugo Duarte,530.***.***-86,48,1975-07-21,Santa Catarina,5927.71,Ensino Médio,1,Casado,5,Educação,Rodovia de Rocha,Vila União,86755-712,da Cunha Paulista 
Fernando Oliveira,635.***.***-68,19,2004-04-13,Acre,5780.82,Ensino Superior,3,Casado,1,Comércio,"Parque Eduarda Oliveira, 23",Atila De Paiva,72596-980,da Mata 
Calebe Santos,489.***.***-50,24,1999-07-07,Pernambuco,6610.51,Pós-graduação,2,Solteiro,0,Comércio,"Praia Souza, 66",São Luiz,64329-219,da Costa 
Luna Dias,518.***.***-94,62,1962-01-27,Pernambuco,6764.265822019516,Ensino Superior,1,Solteiro,18,Tecnologia,"Praça Sales, 94",Vila Petropolis,00189-432,Carvalho do Norte 
Kaique Peixoto,126.***.***-06,51,1972-05-26,Rondônia,6764.265822019516,Ensino Fundamental,1,Solteiro,16,Educação,"Quadra Sales, 5",Vila Madre Gertrudes 2ª Seção,78061-530,da Mota 
Sr. Cauê Peixoto,713.***.***-60,25,1999-01-29,Santa Catarina,4038.23,Ensino Médio,2,Solteiro,0,Saúde,"Estrada de da Mota, 62",Jardinópolis,95004-865,da Luz 
Isadora Monteiro,297.***.***-64,30,1993-12-09,Pernambuco,2587.13,Ensino Fundamental,3,Divorciado,3,Indústria,"Núcleo Ribeiro, 562",Diamante,49341-534,das Neves 
Igor Moraes,417.***.***-35,36,1987-07-26,Tocantins,10128.51,Ensino Superior,0,Solteiro,11,Indústria,"Rodovia de Barbosa, 845",Santo André,29033-576,Carvalho de Teixeira 
Emilly Fernandes,178.***.***-12,19,2005-01-20,Acre,2637.98,Ensino Médio,0,Casado,1,Comércio,"Rua de Cardoso, 38",Vila Sesc,05499-934,Porto 
Dra. Vitória Azevedo,509.***.***-59,41,1982-08-01,Espírito Santo,8163.69,Ensino Médio,0,Casado,21,Educação,"Lago da Cunha, 77",São João,17169-678,Souza 
Samuel Rocha,524.***.***-98,62,1961-11-06,Rio Grande do Sul,8904.81,Ensino Superior,0,Solteiro,5,Comércio,"Avenida de Costela, 67",Marilandia,27147-922,da Luz 
Emilly da Conceição,215.***.***-90,62,1961-06-27,Rondônia,13623.27,Ensino Médio,0,Solteiro,25,Saúde,"Parque Marcos Vinicius Almeida, 26",Vila Engenho Nogueira,22792-088,Azevedo 
Ana Sophia Vieira,215.***.***-41,38,1985-08-21,Ceará,7226.6,Ensino Superior,0,Casado,13,Educação,"Vereda Caldeira, 16",Delta,70500-951,Vieira 
Júlia Moraes,475.***.***-70,18,2005-12-09,Piauí,4671.19,Ensino Médio,1,Casado,0,Comércio,"Distrito de Freitas, 73",Vila Santa Monica 2ª Seção,18721-412,Barbosa do Campo 
Danilo Rodrigues,968.***.***-42,40,1984-02-22,Alagoas,3570.03,Ensino Médio,0,Solteiro,9,Educação,"Rodovia Cauã Almeida, 85",Calafate,72667-159,Alves 
Augusto Pereira,168.***.***-44,33,1990-06-28,Rondônia,11799.05,Ensino Superior,1,Viúvo,9,Saúde,"Distrito de Jesus, 86",Vila Puc,26520-717,da Cruz de das Neves 
Maitê Martins,345.***.***-70,47,1976-09-05,Tocantins,3671.48,Ensino Fundamental,0,Solteiro,11,Comércio,"Morro de Moraes, 996",Flavio De Oliveira,54241-204,Melo 
Theo Martins,237.***.***-88,58,1965-10-23,Mato Grosso do Sul,3893.21,Ensino Médio,0,Casado,1,Indústria,"Viela Porto, 83",Vila São Gabriel Jacui,43836-532,Moura do Campo 
Maria Luiza Dias,513.***.***-60,44,1979-09-13,Pará,2736.04,Ensino Fundamental,2,Solteiro,6,Indústria,"Fazenda de Azevedo, 873",Lajedo,31920-407,Barbosa do Campo 
João Guilherme Silva,623.***.***-50,26,1997-07-03,Rio Grande do Norte,5719.53,Ensino Superior,1,Solteiro,7,Saúde,Colônia de Ribeiro,Novo Santa Cecilia,99890-142,Ramos de Santos 
Alícia Ribeiro,174.***.***-53,31,1993-01-14,Bahia,6674.33,Ensino Médio,2,Casado,5,Educação,"Aeroporto das Neves, 72",Vila Califórnia,76403-030,Almeida de Rocha 
Gabriel Teixeira,760.***.***-34,27,1997-02-07,Distrito Federal,3545.95,Ensino Médio,1,Casado,1,Saúde,"Alameda Mendes, 20",Novo Tupi,20046-948,Sales 
Fernando Vieira,436.***.***-62,38,1985-06-11,Santa Catarina,9092.15,Ensino Médio,2,Casado,10,Saúde,"Viaduto Levi Peixoto, 26",Vila Nova Cachoeirinha 2ª Seção,85014-736,Gonçalves de Rocha 
Alícia Porto,802.***.***-08,27,1996-06-02,Mato Grosso do Sul,9322.1,Ensino Superior,1,Solteiro,1,Indústria,"Via Ana Laura Azevedo, 92",Alto Barroca,75421-694,da Mata da Prata 
Sra. Larissa Rezende,390.***.***-00,26,1997-07-12,Rio Grande do Norte,5393.24,Ensino Médio,0,Casado,1,Indústria,Trecho Sophie da Rosa,Nazare,19384-254,Alves da Serra 
Lorena Santos,620.***.***-59,21,2002-05-13,Santa Catarina,3920.8,Ensino Médio,0,Solteiro,0,Educação,"Vila Vitor Hugo Carvalho, 83",União,88391-704,Silva 
Stephany da Mata,932.***.***-14,38,1985-10-31,Bahia,5173.09,Ensino Superior,0,Casado,12,Indústria,"Vereda Moraes, 7",Vila Esplanada,64578-604,Freitas 
Isabel Nunes,360.***.***-92,23,2000-05-12,Distrito Federal,7653.07,Ensino Médio,3,Solteiro,1,Tecnologia,Trevo Júlia Barros,Vila Petropolis,86109-720,Souza 
Sr. João Guilherme da Conceição,158.***.***-88,57,1967-04-10,Pará,11052.02,Ensino Médio,0,Casado,35,Tecnologia,"Via de Almeida, 38",Maria Virgínia,82765-667,Fernandes da Prata 
Theo Cardoso,310.***.***-06,30,1993-06-22,Pará,7891.22,Ensino Médio,1,Solteiro,11,Indústria,"Residencial Anthony Duarte, 50",Vila Oeste,87651-620,da Luz da Serra 
Thiago Azevedo,417.***.***-14,33,1990-05-31,Paraíba,8806.17,Ensino Médio,0,Solteiro,12,Tecnologia,"Distrito Luiz Felipe Gonçalves, 4",São Jorge 3ª Seção,16327-781,Araújo de Cavalcanti 
Bianca Fernandes,256.***.***-64,24,1999-09-19,Rio Grande do Sul,4605.64,Ensino Superior,0,Casado,2,Saúde,"Favela das Neves, 95",Aarão Reis,38841-090,Aragão das Flores 
Vicente Farias,258.***.***-30,39,1985-03-10,Espírito Santo,7526.52,Ensino Médio,1,Casado,20,Comércio,"Fazenda Noah Fogaça, 13",Vila São Rafael,68815-576,Cardoso do Campo 
Manuela Santos,839.***.***-41,83,1940-04-28,Distrito Federal,4444.77,Ensino Médio,0,Solteiro,24,Indústria,"Setor de Fogaça, 84",Alto Vera Cruz,06399-565,das Neves 
Fernanda da Luz,209.***.***-96,24,1999-08-16,Paraná,7270.43,Ensino Superior,1,Casado,0,Tecnologia,"Aeroporto Ana Carolina Vieira, 687",Vila Nova Gameleira 1ª Seção,93812-807,Martins 
Srta. Ana Luiza Peixoto,561.***.***-49,64,1959-08-19,Paraná,4333.87,Ensino Fundamental,1,Solteiro,35,Comércio,"Vila Correia, 2",Capitão Eduardo,14627-082,Carvalho 
Eduardo Novaes,591.***.***-84,39,1984-11-04,Maranhão,6879.15,Ensino Médio,1,Casado,12,Tecnologia,"Núcleo Nicole Cardoso, 5",Castanheira,26473-319,Silva 
Matheus Ramos,087.***.***-38,26,1997-12-11,Paraíba,4980.9,Ensino Superior,0,Casado,2,Indústria,"Lago de da Conceição, 67",Piratininga,61268-669,Campos Paulista 
Murilo Ramos,681.***.***-02,43,1980-08-27,Paraíba,6938.51,Ensino Superior,0,Casado,20,Comércio,"Sítio Moraes, 7",Belmonte,66994-602,Jesus do Amparo 
Guilherme Jesus,987.***.***-69,47,1977-03-04,Amazonas,7670.19,Ensino Médio,1,Solteiro,7,Educação,"Morro Rafael Sales, 49",Vila Nova Cachoeirinha 2ª Seção,66485-874,Moraes do Norte 
Dr. Luigi Dias,407.***.***-10,19,2005-02-03,Roraima,7402.86,Ensino Superior,3,Casado,0,Comércio,Pátio de Moura,Conjunto Serra Verde,20423-356,Oliveira 
Srta. Laura Moreira,175.***.***-75,38,1985-06-08,Piauí,3518.99,Ensino Médio,2,Casado,5,Educação,"Viaduto Ana Laura da Cunha, 85",Nova Suíça,71851-375,Mendes 
Dr. Lucca da Paz,258.***.***-02,44,1980-03-12,Paraíba,8296.93,Ensino Médio,0,Casado,23,Saúde,"Recanto Amanda Teixeira, 55",Ápia,53208-848,Cardoso 
Dra. Alícia Silva,704.***.***-93,45,1978-08-31,Piauí,12260.37,Ensino Médio,0,Solteiro,22,Tecnologia,"Jardim Farias, 24",Alípio De Melo,83787-680,Gomes do Amparo 
Lorena Moreira,470.***.***-53,28,1996-02-02,Roraima,6227.27,Ensino Superior,0,Casado,6,Tecnologia,"Estação de Caldeira, 29",Guaratã,90543-386,Silva 
Raquel Caldeira,675.***.***-48,26,1997-04-18,Paraíba,2809.06,Ensino Médio,0,Casado,0,Saúde,"Parque Lima, 52",Cenaculo,77677-984,Caldeira 
Caroline Gomes,685.***.***-92,47,1976-11-07,Goiás,4704.76,Ensino Fundamental,5,Casado,11,Indústria,"Conjunto Leandro da Costa, 115",Senhor Dos Passos,94420-235,Fernandes 
Nathan Pereira,376.***.***-84,20,2003-05-26,Amazonas,8233.8,Ensino Superior,0,Casado,1,Indústria,"Núcleo Noah Nascimento, 94",Jardim Felicidade,01631-063,da Conceição das Pedras 
Vitor Gabriel das Neves,360.***.***-78,31,1992-11-05,Rio Grande do Norte,7840.57,Ensino Médio,4,Solteiro,2,Saúde,Trecho de da Mota,Salgado Filho,66560-442,Alves de Goiás 
Ana Carolina da Rosa,132.***.***-64,30,1993-07-04,Piauí,8850.28,Ensino Médio,1,Casado,12,Indústria,"Trevo de Viana, 539",Conjunto São Francisco De Assis,47360-882,Costa de Goiás 
Vitor Gabriel Costela,618.***.***-31,33,1990-06-04,Rio Grande do Sul,6108.62,Ensino Médio,2,Casado,1,Tecnologia,"Lagoa Sophie da Mata, 36",Laranjeiras,73060-860,Castro do Campo 
Sr. Francisco Alves,916.***.***-60,24,1999-06-19,Ceará,4339.39,Ensino Médio,3,Casado,5,Educação,"Alameda Sophia Novaes, 456",João Pinheiro,99892-805,da Costa de Martins 
Pedro Lucas Araújo,392.***.***-46,28,1995-07-15,Alagoas,4888.37,Ensino Médio,1,Casado,5,Indústria,"Campo Ferreira, 965",Vila Cloris,67077-569,Gomes 
Júlia Castro,562.***.***-99,53,1970-11-25,Acre,10229.19,Ensino Médio,1,Casado,14,Saúde,"Avenida de Peixoto, 11",Vila Boa Vista,03166-829,Pires 
Ana Vitória Ramos,538.***.***-42,58,1965-10-23,Rondônia,10785.13,Ensino Superior,3,Casado,26,Indústria,"Conjunto Costa, 7",Mangueiras,64127-937,Nascimento de Minas 
Fernanda Peixoto,730.***.***-92,56,1968-02-10,Paraíba,13196.66,Ensino Médio,2,Solteiro,24,Saúde,Aeroporto Ana Carolina Lopes,Vale Do Jatoba,80456-701,Castro do Sul 
Luana Pires,678.***.***-55,26,1997-04-14,Sergipe,7085.09,Ensino Médio,1,Casado,4,Tecnologia,"Trevo Bernardo Nogueira, 10",Lourdes,24293-549,Moura 
Fernando Ramos,126.***.***-80,21,2002-06-22,Maranhão,3541.28,Ensino Médio,0,Divorciado,2,Educação,"Núcleo Souza, 2",Serrano,36167-913,Barros 
Vicente Freitas,428.***.***-38,21,2002-09-07,Rio Grande do Sul,3206.67,Ensino Médio,0,Divorciado,2,Comércio,"Fazenda Azevedo, 845",Vista Alegre,10628-439,Caldeira do Oeste 
Bruna Lima,147.***.***-90,36,1988-03-05,Piauí,5640.01,Ensino Médio,0,Casado,14,Educação,"Largo Ribeiro, 849",Planalto,53269-317,Monteiro 
Francisco da Conceição,752.***.***-04,88,1935-05-16,Paraíba,4153.43,Ensino Médio,2,Casado,38,Educação,"Vale de Dias, 80",Palmares,27111-661,Pinto 
Lara Barros,347.***.***-62,27,1996-08-17,Rio de Janeiro,5314.56,Pós-graduação,3,Solteiro,9,Educação,"Travessa Gabriela da Luz, 7",Beira Linha,12230-329,da Mota 
